input 输出的最大值是：37.30632400512695, 最小值是：-247.1393585205078
第1层输出的最大值是：28.99318504333496, 最小值是：-26.429401397705078
第2层输出的最大值是：33.9222412109375, 最小值是：-30.148712158203125
第3层输出的最大值是：26.777862548828125, 最小值是：-33.10081100463867
第4层输出的最大值是：28.510974884033203, 最小值是：-27.579946517944336
第5层输出的最大值是：21.59065055847168, 最小值是：-30.143898010253906
第6层输出的最大值是：24.931289672851562, 最小值是：-20.811912536621094
第7层输出的最大值是：13.442220687866211, 最小值是：-24.905778884887695
第8层输出的最大值是：18.608102798461914, 最小值是：-16.050443649291992
第9层输出的最大值是：18.66001319885254, 最小值是：-8.446670532226562
第10层输出的最大值是：3.445260524749756, 最小值是：0
第11层输出的最大值是：16.88177490234375, 最小值是：-35.0142707824707
