input 输出的最大值是：33.412254333496094, 最小值是：-247.1393585205078
第1层输出的最大值是：20.614572525024414, 最小值是：-26.66705322265625
第2层输出的最大值是：22.63666534423828, 最小值是：-23.11254119873047
第3层输出的最大值是：17.850069046020508, 最小值是：-20.058523178100586
第4层输出的最大值是：19.671751022338867, 最小值是：-20.830596923828125
第5层输出的最大值是：15.90805721282959, 最小值是：-20.765844345092773
第6层输出的最大值是：19.637174606323242, 最小值是：-21.240198135375977
第7层输出的最大值是：12.816357612609863, 最小值是：-14.588505744934082
第8层输出的最大值是：9.410770416259766, 最小值是：-17.862333297729492
第9层输出的最大值是：9.564149856567383, 最小值是：-4.996466159820557
第10层输出的最大值是：2.748237133026123, 最小值是：0
第11层输出的最大值是：12.279746055603027, 最小值是：-5.260434627532959
