input 输出的最大值是：32.799766540527344, 最小值是：-247.1393585205078
第1层输出的最大值是：20.555496215820312, 最小值是：-20.959909439086914
第2层输出的最大值是：17.517730712890625, 最小值是：-20.375782012939453
第3层输出的最大值是：14.817941665649414, 最小值是：-15.784571647644043
第4层输出的最大值是：15.796939849853516, 最小值是：-16.979232788085938
第5层输出的最大值是：12.219630241394043, 最小值是：-15.785625457763672
第6层输出的最大值是：16.18628692626953, 最小值是：-17.20611000061035
第7层输出的最大值是：12.4754638671875, 最小值是：-11.717414855957031
第8层输出的最大值是：9.40383529663086, 最小值是：-11.397275924682617
第9层输出的最大值是：7.481098651885986, 最小值是：-6.305022239685059
第10层输出的最大值是：2.271493673324585, 最小值是：0
第11层输出的最大值是：6.1433796882629395, 最小值是：-5.276672840118408
