input 输出的最大值是：36.0855827331543, 最小值是：-247.1393585205078
第1层输出的最大值是：20.76905632019043, 最小值是：-21.546602249145508
第2层输出的最大值是：23.500560760498047, 最小值是：-24.831249237060547
第3层输出的最大值是：21.045581817626953, 最小值是：-21.397369384765625
第4层输出的最大值是：23.43785858154297, 最小值是：-19.725666046142578
第5层输出的最大值是：20.842084884643555, 最小值是：-19.1870059967041
第6层输出的最大值是：17.875347137451172, 最小值是：-25.742218017578125
第7层输出的最大值是：16.171052932739258, 最小值是：-15.35466194152832
第8层输出的最大值是：12.67656135559082, 最小值是：-20.510950088500977
第9层输出的最大值是：9.21255111694336, 最小值是：-7.194607257843018
第10层输出的最大值是：1.9402931928634644, 最小值是：0
第11层输出的最大值是：5.700298309326172, 最小值是：-4.96047306060791
